segSize, stress test time, waittime, simple, sync, maxSeg
seg512,80.388,0.06,0.2,1,5
seg512,60.671,80.317,0.512,1,5
seg512,36.803,141.41,0.342,1,5
seg512,21.799,178.421,0.22,1,5
seg512,19.066,200.409,0.195,1,5
seg512,17.466,219.149,0.172,1,5
seg512,16.896,236.576,0.176,1,5
seg512,16.363,253.345,0.188,1,5
,,,,,
seg512,17.046,0.592,0.162,1,5
seg512,16.912,17.621,0.174,1,5
seg512,16.062,34.636,0.192,1,5
seg512,15.944,52.576,0.195,1,5
,,,,,
seg512,16.23,0.07,0.165,1,5
seg512,16.477,18.117,0.171,1,5
,,,,,
seg512,16.259,0.423,0.164,1,5
,,,,,
seg512,138.626,0.35,0.173,0,5
seg512,140.258,0.395,0.238,0,5
seg512,140.53,0.285,0.349,0,5
seg512,140.381,0.241,0.46,0,5
seg512,140.13,0.21,0.542,0,5
seg512,137.846,0.419,1.795,0,5
seg512,137.229,0.409,1.949,0,5
seg512,138.687,0.407,1.505,0,5
,,,,,
seg512,40.157,0.336,0.18,0,5
seg512,40.332,0.399,0.21,0,5
seg512,40.069,0.026,0.401,0,5
seg512,40.073,0.467,0.399,0,5
,,,,,
seg512,22.034,0.416,0.177,0,5
seg512,21.991,0.419,0.238,0,5
,,,,,
seg512,16.646,0.336,0.198,0,5
