segSize, stress, simple, sync, maxSeg,,,,,,,,,,,,,,
seg32,325.443,3.527,1,1,,,,,,,,,,,,,,
seg32,323.57,3.388,1,3,,,,seg32,seg64,seg128,seg256,seg512,seg1024,seg2048,seg4096,seg8192,maxSeg,sync
seg32,327.675,3.371,1,5,,, simple,3.527,1.7,0.831,0.453,0.214,0.104,0.057,0.036,0.042,1,1
seg64,163.614,1.7,1,1,,, stress,325.443,163.614,82.009,41.357,21.693,10.564,6.224,3.718,2.773,1,1
seg64,163.883,1.668,1,3,,, stress,323.57,163.883,81.132,41.368,20.6,11.198,6.024,3.894,2.712,3,1
seg64,165.714,1.711,1,5,,, stress,327.675,165.714,81.905,41.081,20.551,11.512,6.871,3.856,2.703,5,1
seg128,82.009,0.831,1,1,,,,,,,,,,,,,,
seg128,81.132,0.786,1,3,,,,seg32,seg64,seg128,seg256,seg512,seg1024,seg2048,seg4096,seg8192,maxSeg,sync
seg128,81.905,0.843,1,5,,,,,,,,,,,,,,
seg256,41.357,0.453,1,1,,, stress,222.166,111.071,58.941,29.153,14.252,7.226,3.69,2.164,1.123,1,0
seg256,41.368,0.463,1,3,,, stress,219.885,106.44,59.486,29.665,14.3,7.313,3.899,2.435,1.388,3,0
seg256,41.081,0.446,1,5,,, stress,217.958,113.26,59.57,28.705,14.6,7.24,3.79,2.446,1.418,5,0
seg512,21.693,0.214,1,1,,,,,,,,,,,,,,
seg512,20.6,0.224,1,3,,,,,,,,,,,,,,
seg512,20.551,0.214,1,5,,,,,,,,,,,,,,
seg1024,10.564,0.104,1,1,,,,,,,,,,,,,,
seg1024,11.198,0.116,1,3,,,,,,,,,,,,,,
seg1024,11.512,0.107,1,5,,,,,,,,,,,,,,
seg2048,6.224,0.057,1,1,,,,,,,,,,,,,,
seg2048,6.024,0.059,1,3,,,,,,,,,,,,,,
seg2048,6.871,0.065,1,5,,,,,,,,,,,,,,
seg4096,3.718,0.036,1,1,,,,,,,,,,,,,,
seg4096,3.894,0.04,1,3,,,,,,,,,,,,,,
seg4096,3.856,0.042,1,5,,,,,,,,,,,,,,
seg8192,2.773,0.028,1,1,,,,,,,,,,,,,,
seg8192,2.712,0.029,1,3,,,,,,,,,,,,,,
seg8192,2.703,0.029,1,5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
seg32,222.166,2.196,0,1,,,,,,,,,,,,,,
seg32,219.885,2.116,0,3,,,,,,,,,,,,,,
seg32,217.958,2.142,0,5,,,,,,,,,,,,,,
seg64,111.071,1.106,0,1,,,,,,,,,,,,,,
seg64,106.44,1.101,0,3,,,,,,,,,,,,,,
seg64,113.26,1.067,0,5,,,,,,,,,,,,,,
seg128,58.941,0.592,0,1,,,,,,,,,,,,,,
seg128,59.486,0.611,0,3,,,,,,,,,,,,,,
seg128,59.57,0.633,0,5,,,,,,,,,,,,,,
seg256,29.153,0.314,0,1,,,,,,,,,,,,,,
seg256,29.665,0.282,0,3,,,,,,,,,,,,,,
seg256,28.705,0.296,0,5,,,,,,,,,,,,,,
seg512,14.252,0.162,0,1,,,,,,,,,,,,,,
seg512,14.3,0.164,0,3,,,,,,,,,,,,,,
seg512,14.6,0.156,0,5,,,,,,,,,,,,,,
seg1024,7.226,0.097,0,1,,,,,,,,,,,,,,
seg1024,7.313,0.082,0,3,,,,,,,,,,,,,,
seg1024,7.24,0.09,0,5,,,,,,,,,,,,,,
seg2048,3.69,0.041,0,1,,,,,,,,,,,,,,
seg2048,3.899,0.048,0,3,,,,,,,,,,,,,,
seg2048,3.79,0.043,0,5,,,,,,,,,,,,,,
seg4096,2.164,0.02,0,1,,,,,,,,,,,,,,
seg4096,2.435,0.025,0,3,,,,,,,,,,,,,,
seg4096,2.446,0.023,0,5,,,,,,,,,,,,,,
seg8192,1.123,0.012,0,1,,,,,,,,,,,,,,
seg8192,1.388,0.012,0,3,,,,,,,,,,,,,,
seg8192,1.418,0.013,0,5,,,,,,,,,,,,,,
