segSize, stress, waittime, simple, sync, maxSeg
seg32,269.774,0.353,2.753,1,1
seg64,134.741,0.178,1.395,1,1
seg128,67.79,0.425,0.682,1,1
seg256,34.232,0.181,0.362,1,1
seg512,16.661,0.182,0.18,1,1
seg1024,8.389,0.254,0.086,1,1
seg2048,4.262,0.142,0.052,1,1
seg4096,2.358,0.104,0.03,1,1
seg8192,1.279,0.375,0.014,1,1
seg32,267.581,0.004,2.644,1,3
seg64,133.398,0.138,1.373,1,3
seg128,66.732,0.383,0.681,1,3
seg256,34.792,0.069,0.338,1,3
seg512,17.268,0.235,0.186,1,3
seg1024,8.53,0.15,0.119,1,3
seg2048,4.264,0.342,0.051,1,3
seg4096,2.528,0.346,0.031,1,3
seg8192,1.361,0.102,0.016,1,3
seg32,273.507,0.288,2.597,1,5
seg64,132.703,0.072,1.282,1,5
seg128,66.223,0.241,0.672,1,5
seg256,33.358,0.186,0.37,1,5
seg512,16.829,0.301,0.208,1,5
seg1024,8.477,0.086,0.107,1,5
seg2048,4.36,0.394,0.043,1,5
seg4096,2.552,0.323,0.025,1,5
seg8192,1.507,0.315,0.015,1,5
segSize, stress, waittime, simple, sync, maxSeg
seg32,268.184,0.426,2.759,0,1
seg64,134.12,0.016,1.346,0,1
seg128,66.903,0.416,0.68,0,1
seg256,34.753,0.112,0.349,0,1
seg512,16.998,0.12,0.19,0,1
seg1024,8.881,0.059,0.084,0,1
seg2048,4.432,0.432,0.049,0,1
seg4096,2.452,0.468,0.031,0,1
seg8192,1.31,0.157,0.019,0,1
seg32,270.475,0.226,2.766,0,3
seg64,132.892,0.316,1.377,0,3
seg128,67.486,0.444,0.671,0,3
seg256,33.159,0.232,0.355,0,3
seg512,16.482,0.328,0.181,0,3
seg1024,8.478,0.291,0.089,0,3
seg2048,4.234,0.412,0.052,0,3
seg4096,2.131,0.198,0.026,0,3
seg8192,1.393,0.477,0.014,0,3
seg32,267.388,0.217,2.749,0,5
seg64,130.464,0.316,1.292,0,5
seg128,65.145,0.388,0.662,0,5
seg256,32.311,0.298,0.335,0,5
seg512,16.09,0.195,0.171,0,5
seg1024,8.077,0.431,0.094,0,5
seg2048,4.159,0.234,0.048,0,5
seg4096,2.25,0.118,0.032,0,5
seg8192,1.342,0.257,0.021,0,5
